trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9975}",25,0,-187.29934607558576,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
2,False,"{'a': 0.2, 'e': 0.995}",20,0,-115.67431630126413,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9925}",20,0,-67.00637135956914,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.99}",20,0,-52.75438197024419,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.9875}",30,0,-145.2273487923184,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.985}",20,0,-43.42111212819966,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9825}",25,0,-213.2186070656761,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.2, 'e': 0.98}",20,0,-52.498317353292215,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9775}",20,0,-114.07157153728849,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.975}",20,0,-79.573588711537,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.9725}",25,0,-145.64927879506186,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.97}",25,16,-9.99747391936636,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.9675}",25,0,-119.26272437894599,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.965}",25,11,-72.118769548107,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.2, 'e': 0.9625}",20,0,-65.22806161075317,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.96}",25,0,-230.51618638377397,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
17,False,"{'a': 0.2, 'e': 0.9575}",20,10,-36.68484368319997,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.955}",20,11,7.295968006579444,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.9525}",20,0,-165.48532685388375,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.95}",20,0,-113.28075539188889,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.9475}",20,0,-188.358261539756,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
22,False,"{'a': 0.2, 'e': 0.945}",20,0,-76.34233385644534,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.9425}",25,13,-9.748214602283765,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.94}",20,0,-134.685263622119,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.9375}",20,0,-96.51114878613308,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.935}",25,0,-198.5749170146704,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
27,False,"{'a': 0.2, 'e': 0.9325}",25,0,-57.04677639495996,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.9299999999999999}",35,0,-209.62629645255095,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
29,False,"{'a': 0.2, 'e': 0.9275}",20,13,12.503250107490583,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.925}",20,0,-89.51240273457122,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.9225}",20,0,-127.83111277156999,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.2, 'e': 0.92}",25,16,-6.814302520599666,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.9175}",20,0,-81.32424206568948,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.2, 'e': 0.915}",35,0,-141.92221032670457,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
35,False,"{'a': 0.2, 'e': 0.9125}",20,0,-59.26718063224257,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.91}",20,4,-52.541474640594124,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
37,False,"{'a': 0.2, 'e': 0.9075}",30,0,-221.09113632076267,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
38,False,"{'a': 0.2, 'e': 0.905}",20,7,-130.9952831109491,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 3}",1
39,False,"{'a': 0.2, 'e': 0.9025}",20,12,-8.509950688277677,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.9}",20,0,-56.576067456624,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.8975}",30,0,-160.55454391985572,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
42,False,"{'a': 0.2, 'e': 0.895}",30,0,-124.06772588029327,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.8925}",20,13,-7.5149503013537835,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.89}",20,0,-74.11666955570796,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.8875}",25,0,-135.9727131278886,"{0: 16, 1: 1, 2: 3, 3: 4, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.885}",30,1,-34.875851133361046,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.8825}",25,0,-59.7446890322125,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.88}",20,12,-19.46443521309843,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.8775}",25,0,-167.77454836594038,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
50,False,"{'a': 0.2, 'e': 0.875}",20,6,-24.63321403792397,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.8725}",30,0,-96.06493722599951,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.87}",30,0,-93.08138677137005,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.8674999999999999}",20,0,-67.67480367254122,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.865}",30,0,-142.3219840991294,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
55,False,"{'a': 0.2, 'e': 0.8625}",20,0,-123.40065402065942,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
56,False,"{'a': 0.2, 'e': 0.86}",20,0,-91.26241690039836,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.8574999999999999}",25,20,7.21871666981014,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.855}",30,0,-137.12464225946718,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
59,False,"{'a': 0.2, 'e': 0.8525}",20,0,-117.98154174064157,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.85}",30,0,-66.21703962679248,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.8475}",20,0,-82.85549851371779,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.845}",30,6,-57.13957914716219,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.8425}",20,0,-40.88724494429569,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.2, 'e': 0.84}",20,3,-60.35550282922217,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.8375}",30,0,-169.01135171063538,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.835}",20,0,-83.57996569211494,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.2, 'e': 0.8325}",30,7,-40.67272987659172,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.83}",20,0,-119.2595797226445,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
69,False,"{'a': 0.2, 'e': 0.8275}",35,0,-236.9355460565708,"{0: 21, 1: 2, 2: 7, 3: 1, 4: 4}",0
70,False,"{'a': 0.2, 'e': 0.825}",30,0,-73.06666457786737,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.8225}",25,0,-79.58004765153419,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
72,False,"{'a': 0.2, 'e': 0.8200000000000001}",20,0,8.14935206606271,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.8175}",20,0,-118.69537454382815,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
74,False,"{'a': 0.2, 'e': 0.815}",20,0,-115.16446462406213,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
75,False,"{'a': 0.2, 'e': 0.8125}",20,0,-73.88705062595332,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.81}",20,0,-88.45015037389686,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.8075}",25,0,-123.71035174395632,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
78,False,"{'a': 0.2, 'e': 0.8049999999999999}",25,8,-51.72517408657981,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.8025}",25,0,-134.7189793540484,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
80,False,"{'a': 0.2, 'e': 0.8}",30,0,-315.4163022788349,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 7}",0
81,False,"{'a': 0.2, 'e': 0.7975}",25,0,-116.74613975915518,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
82,False,"{'a': 0.2, 'e': 0.7949999999999999}",20,0,-65.44859277682095,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.7925}",25,0,-35.18073355789271,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.79}",25,0,-94.66910152605364,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
85,False,"{'a': 0.2, 'e': 0.7875}",20,0,-54.985873145562294,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.2, 'e': 0.785}",25,0,-127.64660915090643,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
87,False,"{'a': 0.2, 'e': 0.7825}",25,0,-51.83621601117446,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.78}",25,5,-94.47301180656453,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
89,False,"{'a': 0.2, 'e': 0.7775}",25,0,-183.60389986960462,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
90,False,"{'a': 0.2, 'e': 0.775}",20,0,-151.82507222161868,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
91,False,"{'a': 0.2, 'e': 0.7725}",25,7,-17.295343936814213,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.77}",25,13,-56.628513638719355,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
93,False,"{'a': 0.2, 'e': 0.7675}",20,0,-87.52501943897488,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.765}",20,0,-73.30124312033257,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
95,False,"{'a': 0.2, 'e': 0.7625}",20,0,-121.18484169393577,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
96,False,"{'a': 0.2, 'e': 0.76}",30,0,-175.0257519842743,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
97,False,"{'a': 0.2, 'e': 0.7575000000000001}",30,18,-39.28749244147569,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.755}",20,3,0.6839701741905073,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.7525}",25,0,-65.74041378980168,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.2, 'e': 0.75}",30,10,-96.63032390461265,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
101,False,"{'a': 0.2, 'e': 0.7475}",20,2,-80.12912910530403,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
102,False,"{'a': 0.2, 'e': 0.745}",25,0,-46.29934242345842,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
103,False,"{'a': 0.2, 'e': 0.7424999999999999}",30,0,-35.438738828553134,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.74}",25,0,-70.39689065227665,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
105,False,"{'a': 0.2, 'e': 0.7375}",20,0,-71.08146369690465,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.2, 'e': 0.735}",20,0,-69.5338869592849,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.7324999999999999}",20,0,-13.35934670851024,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.73}",20,0,-9.425693058469843,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
109,False,"{'a': 0.2, 'e': 0.7275}",20,0,-77.26550823036813,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
110,False,"{'a': 0.2, 'e': 0.725}",20,0,-13.079243520809976,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
111,False,"{'a': 0.2, 'e': 0.7224999999999999}",25,0,-68.52244691001894,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.72}",25,2,-59.56041319534815,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.2, 'e': 0.7175}",25,0,-112.6360297221968,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
114,False,"{'a': 0.2, 'e': 0.715}",25,2,-74.91423690762471,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 2}",1
