trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.7153987648304,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.0375881474024,"{0: 18, 1: 3, 2: 3, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.65077741776535,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.0874611977726,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.47218620286304,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,14,-43.357102997128074,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.814110303573614,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.46346186030794,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.19619381804439,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-239.0733082556403,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-163.0599668200158,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.500469728590275,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.98409048333983,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.4354407757328,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.30569249290119,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-319.98154201362803,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.55948780583563,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.79026996146293,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.54161784872517,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.83692780134479,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.26185315017206,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.52046237079719,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.6027152363803,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.19876916199185,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.29036890615741,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-3.2565682705203987,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,15,-76.87755739012624,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,7,-94.6536490733913,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-209.3877735963385,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.29490057299827,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
